"year","departamento","codigo","diagnostico","total","Mujer1","Hombre1","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre","Mujer","Hombre"
2012,"ALTA VERAPAZ","O:99","Otras enfermedades maternas clasificables en otra parte, pero que complican el embarazo, el parto y el puerperio"," 8,347   "," -     "," -     "," -     "," -     "," -     "," -     "," -     "," -     "," -     "," -     "," 230   "," -     "," 1,659   "," -     "," 2,044   "," -     "," 1,431   "," -     "," 1,030   "," -     "," 1,469   "," -     "," 293   "," -     "," 169   "," -     "," 22   "," -     "," -     "," -     "," -     "," -     "," -     "," -     "," -     "," -     "
2012,"ALTA VERAPAZ","B:86","Escabiosis"," 8,330   "," 5   "," 12   "," 47   "," 40   "," 674   "," 587   "," 1,429   "," 1,308   "," 660   "," 601   "," 330   "," 231   "," 338   "," 82   "," 372   "," 90   "," 275   "," 69   "," 231   "," 72   "," 202   "," 42   "," 111   "," 34   "," 99   "," 30   "," 54   "," 28   "," 56   "," 31   "," 50   "," 12   "," 18   "," 17   "," 53   "," 40   "
2012,"ALTA VERAPAZ","R:51","Cefalea"," 8,212   "," -     "," -     "," 1   "," 1   "," 5   "," 13   "," 56   "," 43   "," 109   "," 72   "," 274   "," 91   "," 833   "," 167   "," 1,352   "," 179   "," 826   "," 184   "," 690   "," 157   "," 1,204   "," 125   "," 343   "," 88   "," 486   "," 70   "," 173   "," 59   "," 228   "," 38   "," 103   "," 39   "," 50   "," 19   "," 83   "," 51   "
2012,"ALTA VERAPAZ","H:10","Conjuntivitis"," 8,007   "," 39   "," 46   "," 63   "," 64   "," 606   "," 570   "," 1,200   "," 1,152   "," 491   "," 488   "," 253   "," 202   "," 267   "," 127   "," 329   "," 144   "," 248   "," 141   "," 195   "," 100   "," 250   "," 100   "," 89   "," 74   "," 144   "," 74   "," 79   "," 58   "," 69   "," 51   "," 49   "," 30   "," 34   "," 30   "," 81   "," 70   "
2012,"ALTA VERAPAZ","E:45","Retardo del desarrollo debido a desnutrición proteico calórica"," 7,864   "," 3   "," 4   "," 23   "," 15   "," 623   "," 611   "," 3,365   "," 3,124   "," 35   "," 44   "," 5   "," 2   "," 1   "," 1   "," 1   "," -     "," 2   "," 1   "," 2   "," -     "," -     "," -     "," -     "," -     "," -     "," 1   "," -     "," -     "," -     "," -     "," -     "," -     "," -     "," -     "," -     "," 1   "
2012,"ALTA VERAPAZ","G:44","Otros síndromes de cefalea"," 6,994   "," -     "," -     "," -     "," -     "," 2   "," 1   "," 20   "," 3   "," 48   "," 28   "," 158   "," 69   "," 557   "," 116   "," 1,060   "," 100   "," 1,100   "," 114   "," 966   "," 128   "," 872   "," 93   "," 472   "," 74   "," 389   "," 40   "," 174   "," 40   "," 131   "," 25   "," 70   "," 27   "," 38   "," 16   "," 45   "," 18   "
2012,"ALTA VERAPAZ","O:23","Infección de las vías genitourinarias en el embarazo"," 6,992   "," -     "," -     "," -     "," -     "," -     "," -     "," -     "," -     "," -     "," -     "," 154   "," -     "," 1,631   "," -     "," 2,014   "," -     "," 1,359   "," -     "," 839   "," -     "," 716   "," -     "," 149   "," -     "," 121   "," -     "," 9   "," -     "," -     "," -     "," -     "," -     "," -     "," -     "," -     "," -     "
2012,"BAJA VERAPAZ","J:00","Rinofaringitis aguda [resfriado común]"," 57,387   "," 131   "," 139   "," 358   "," 322   "," 3,899   "," 3,766   "," 8,939   "," 8,659   "," 4,501   "," 3,823   "," 2,370   "," 1,666   "," 2,291   "," 795   "," 2,280   "," 595   "," 2,026   "," 515   "," 1,455   "," 359   "," 1,388   "," 361   "," 960   "," 345   "," 805   "," 226   "," 783   "," 295   "," 573   "," 243   "," 487   "," 266   "," 424   "," 194   "," 681   "," 467   "
2012,"BAJA VERAPAZ","K:29","Gastritis y duodenitis"," 20,574   "," -     "," 1   "," 3   "," 3   "," 19   "," 28   "," 114   "," 46   "," 162   "," 117   "," 624   "," 242   "," 1,671   "," 329   "," 2,375   "," 432   "," 2,254   "," 476   "," 1,956   "," 381   "," 1,818   "," 306   "," 1,482   "," 410   "," 1,087   "," 248   "," 872   "," 288   "," 646   "," 204   "," 476   "," 215   "," 352   "," 131   "," 518   "," 288   "
2012,"BAJA VERAPAZ","J:22","Infección aguda no especificada de las vías respiratorias inferiores"," 18,303   "," 28   "," 21   "," 81   "," 47   "," 1,004   "," 999   "," 2,504   "," 2,367   "," 1,508   "," 1,241   "," 834   "," 599   "," 823   "," 296   "," 889   "," 243   "," 756   "," 172   "," 690   "," 203   "," 547   "," 168   "," 436   "," 126   "," 325   "," 98   "," 254   "," 92   "," 197   "," 84   "," 141   "," 68   "," 116   "," 52   "," 177   "," 117   "
2012,"BAJA VERAPAZ","J:03","Amigdalitis aguda"," 16,301   "," 9   "," 3   "," 21   "," 19   "," 499   "," 507   "," 1,880   "," 1,760   "," 1,383   "," 1,206   "," 906   "," 692   "," 898   "," 341   "," 1,017   "," 284   "," 983   "," 232   "," 735   "," 217   "," 645   "," 170   "," 367   "," 125   "," 306   "," 117   "," 226   "," 87   "," 154   "," 66   "," 102   "," 60   "," 78   "," 40   "," 93   "," 73   "
2012,"BAJA VERAPAZ","B:82","Parasitosis intestinales, sin otra especificación"," 15,786   "," 4   "," 5   "," 7   "," 4   "," 214   "," 199   "," 2,085   "," 1,946   "," 1,909   "," 1,575   "," 1,124   "," 667   "," 783   "," 315   "," 823   "," 323   "," 677   "," 195   "," 513   "," 112   "," 424   "," 114   "," 358   "," 111   "," 245   "," 86   "," 219   "," 79   "," 150   "," 55   "," 112   "," 64   "," 62   "," 41   "," 117   "," 69   "
2012,"BAJA VERAPAZ","N:39","Otros trastornos del sistema urinario"," 13,952   "," 1   "," 1   "," 5   "," 2   "," 101   "," 58   "," 545   "," 352   "," 450   "," 216   "," 466   "," 150   "," 1,435   "," 141   "," 1,951   "," 205   "," 1,740   "," 188   "," 1,327   "," 142   "," 1,154   "," 126   "," 756   "," 125   "," 596   "," 85   "," 432   "," 86   "," 280   "," 77   "," 179   "," 52   "," 137   "," 56   "," 202   "," 133   "
2012,"BAJA VERAPAZ","A:06","Amebiasis"," 12,490   "," 6   "," 2   "," 9   "," 10   "," 360   "," 367   "," 1,619   "," 1,661   "," 1,110   "," 846   "," 611   "," 439   "," 577   "," 215   "," 656   "," 200   "," 585   "," 173   "," 472   "," 136   "," 427   "," 125   "," 313   "," 131   "," 279   "," 107   "," 214   "," 119   "," 153   "," 71   "," 135   "," 65   "," 67   "," 41   "," 119   "," 70   "
2012,"BAJA VERAPAZ","M:79","Otros trastornos de los tejidos blandos, no clasificados en otra parte"," 10,173   "," -     "," -     "," 1   "," 1   "," 15   "," 8   "," 42   "," 26   "," 61   "," 39   "," 183   "," 82   "," 570   "," 139   "," 871   "," 178   "," 975   "," 219   "," 969   "," 185   "," 863   "," 195   "," 810   "," 214   "," 670   "," 166   "," 574   "," 181   "," 418   "," 154   "," 314   "," 125   "," 239   "," 80   "," 362   "," 244   "
2012,"BAJA VERAPAZ","A:09","Diarrea y gastroenteritis de presunto origen infeccioso"," 8,501   "," 15   "," 11   "," 22   "," 16   "," 730   "," 838   "," 1,759   "," 1,783   "," 371   "," 357   "," 180   "," 163   "," 223   "," 73   "," 314   "," 67   "," 196   "," 68   "," 173   "," 58   "," 176   "," 54   "," 119   "," 44   "," 97   "," 43   "," 86   "," 28   "," 78   "," 38   "," 42   "," 38   "," 58   "," 20   "," 100   "," 63   "
2012,"BAJA VERAPAZ","G:44","Otros síndromes de cefalea"," 7,615   "," 2   "," -     "," 2   "," 1   "," 5   "," 4   "," 25   "," 22   "," 72   "," 50   "," 284   "," 86   "," 776   "," 82   "," 1,121   "," 120   "," 930   "," 170   "," 770   "," 77   "," 658   "," 63   "," 537   "," 95   "," 388   "," 59   "," 349   "," 77   "," 193   "," 27   "," 200   "," 67   "," 113   "," 26   "," 123   "," 41   "
2012,"BAJA VERAPAZ","R:51","Cefalea"," 7,261   "," 3   "," 1   "," 1   "," -     "," 11   "," 6   "," 52   "," 32   "," 141   "," 90   "," 307   "," 149   "," 702   "," 147   "," 901   "," 173   "," 836   "," 189   "," 520   "," 107   "," 572   "," 88   "," 481   "," 130   "," 319   "," 56   "," 250   "," 120   "," 147   "," 34   "," 169   "," 114   "," 149   "," 91   "," 105   "," 68   "
2012,"BAJA VERAPAZ","H:10","Conjuntivitis"," 6,922   "," 23   "," 21   "," 71   "," 42   "," 347   "," 370   "," 741   "," 743   "," 387   "," 328   "," 282   "," 200   "," 286   "," 164   "," 264   "," 110   "," 220   "," 119   "," 201   "," 95   "," 235   "," 81   "," 167   "," 78   "," 190   "," 68   "," 149   "," 74   "," 130   "," 68   "," 115   "," 73   "," 97   "," 54   "," 169   "," 160   "
2012,"BAJA VERAPAZ","D:64","Otras anemias"," 6,807   "," -     "," 1   "," -     "," 1   "," 22   "," 24   "," 199   "," 154   "," 373   "," 279   "," 563   "," 271   "," 730   "," 128   "," 700   "," 67   "," 561   "," 66   "," 419   "," 40   "," 388   "," 40   "," 312   "," 50   "," 262   "," 35   "," 241   "," 65   "," 127   "," 35   "," 143   "," 52   "," 132   "," 69   "," 157   "," 101   "
2012,"BAJA VERAPAZ","M:25","Otros trastornos articulares, no clasificados en otra parte"," 6,713   "," 1   "," 1   "," 1   "," -     "," 2   "," 2   "," 19   "," 33   "," 36   "," 26   "," 89   "," 58   "," 247   "," 86   "," 515   "," 116   "," 526   "," 132   "," 579   "," 116   "," 596   "," 124   "," 479   "," 140   "," 491   "," 106   "," 398   "," 173   "," 274   "," 125   "," 281   "," 143   "," 177   "," 95   "," 308   "," 218   "
2012,"BAJA VERAPAZ","M:54","Dorsalgia"," 6,627   "," 1   "," -     "," 2   "," 1   "," 7   "," 4   "," 17   "," 14   "," 20   "," 19   "," 103   "," 59   "," 341   "," 106   "," 517   "," 130   "," 564   "," 184   "," 502   "," 144   "," 517   "," 140   "," 518   "," 252   "," 372   "," 107   "," 359   "," 263   "," 244   "," 107   "," 246   "," 153   "," 172   "," 123   "," 152   "," 167   "
2012,"BAJA VERAPAZ","E:56","Otras deficiencias de vitaminas"," 5,765   "," 2   "," 1   "," 1   "," 1   "," 31   "," 38   "," 401   "," 335   "," 361   "," 283   "," 479   "," 175   "," 639   "," 71   "," 580   "," 67   "," 512   "," 44   "," 316   "," 51   "," 294   "," 46   "," 239   "," 32   "," 157   "," 33   "," 121   "," 26   "," 83   "," 26   "," 75   "," 29   "," 40   "," 27   "," 79   "," 70   "
2012,"BAJA VERAPAZ","A:04","Otras infecciones intestinales bacterianas"," 5,461   "," 6   "," 13   "," 24   "," 20   "," 480   "," 554   "," 1,069   "," 1,098   "," 294   "," 255   "," 141   "," 136   "," 143   "," 67   "," 165   "," 56   "," 125   "," 59   "," 113   "," 46   "," 109   "," 26   "," 74   "," 36   "," 58   "," 23   "," 50   "," 24   "," 30   "," 18   "," 33   "," 8   "," 24   "," 9   "," 40   "," 35   "
2012,"BAJA VERAPAZ","I:10","Hipertensión esencial (primaria)"," 5,409   "," -     "," -     "," -     "," 1   "," 4   "," 7   "," 19   "," 16   "," 15   "," 10   "," 20   "," 8   "," 39   "," 10   "," 89   "," 28   "," 124   "," 33   "," 205   "," 55   "," 302   "," 65   "," 402   "," 73   "," 417   "," 74   "," 529   "," 131   "," 463   "," 127   "," 427   "," 129   "," 386   "," 117   "," 681   "," 403   "
2012,"BAJA VERAPAZ","T:14","Traumatismo de regiones no especificadas del cuerpo"," 5,281   "," 1   "," 2   "," 1   "," -     "," 16   "," 15   "," 161   "," 288   "," 210   "," 412   "," 237   "," 469   "," 214   "," 485   "," 188   "," 349   "," 171   "," 233   "," 151   "," 215   "," 125   "," 174   "," 101   "," 128   "," 67   "," 90   "," 83   "," 106   "," 65   "," 84   "," 65   "," 66   "," 49   "," 68   "," 98   "," 94   "
2012,"BAJA VERAPAZ","L:98","Otros trastornos de la piel y del tejido subcutáneo, no clasificados en otra parte"," 5,229   "," 16   "," 5   "," 33   "," 24   "," 288   "," 282   "," 595   "," 621   "," 346   "," 326   "," 258   "," 216   "," 268   "," 157   "," 267   "," 126   "," 220   "," 93   "," 166   "," 100   "," 141   "," 64   "," 100   "," 49   "," 84   "," 33   "," 72   "," 40   "," 40   "," 32   "," 28   "," 27   "," 33   "," 18   "," 37   "," 24   "
2012,"CHIMALTENANGO","J:00","Rinofaringitis aguda [resfriado común]"," 65,544   "," 334   "," 346   "," 649   "," 618   "," 5,830   "," 5,881   "," 11,075   "," 10,937   "," 4,636   "," 3,995   "," 2,245   "," 1,561   "," 1,950   "," 571   "," 2,345   "," 403   "," 1,892   "," 321   "," 1,739   "," 276   "," 1,613   "," 243   "," 969   "," 205   "," 774   "," 188   "," 631   "," 193   "," 635   "," 180   "," 462   "," 166   "," 386   "," 144   "," 728   "," 423   "
2012,"CHIMALTENANGO","J:22","Infección aguda no especificada de las vías respiratorias inferiores"," 39,825   "," 59   "," 58   "," 111   "," 129   "," 1,707   "," 1,912   "," 4,799   "," 5,260   "," 3,189   "," 2,876   "," 1,974   "," 1,502   "," 1,761   "," 788   "," 2,012   "," 597   "," 1,812   "," 465   "," 1,756   "," 383   "," 1,335   "," 392   "," 935   "," 253   "," 726   "," 249   "," 592   "," 168   "," 410   "," 167   "," 362   "," 120   "," 256   "," 107   "," 391   "," 212   "
2012,"CHIMALTENANGO","K:29","Gastritis y duodenitis"," 17,607   "," 3   "," 3   "," 1   "," 5   "," 18   "," 8   "," 75   "," 71   "," 214   "," 110   "," 530   "," 241   "," 1,312   "," 284   "," 1,839   "," 300   "," 1,648   "," 288   "," 1,620   "," 291   "," 1,825   "," 307   "," 1,013   "," 246   "," 1,114   "," 233   "," 732   "," 199   "," 698   "," 178   "," 534   "," 133   "," 402   "," 120   "," 703   "," 309   "
2012,"CHIMALTENANGO","N:39","Otros trastornos del sistema urinario"," 12,503   "," 5   "," 5   "," 10   "," 10   "," 138   "," 116   "," 677   "," 390   "," 533   "," 228   "," 429   "," 118   "," 1,394   "," 113   "," 1,799   "," 100   "," 1,314   "," 92   "," 1,117   "," 91   "," 1,313   "," 87   "," 528   "," 55   "," 503   "," 48   "," 255   "," 67   "," 237   "," 34   "," 169   "," 41   "," 176   "," 39   "," 180   "," 92   "
2012,"CHIMALTENANGO","A:09","Diarrea y gastroenteritis de presunto origen infeccioso"," 12,352   "," 26   "," 22   "," 45   "," 44   "," 1,297   "," 1,444   "," 2,712   "," 3,055   "," 460   "," 465   "," 224   "," 206   "," 223   "," 101   "," 272   "," 100   "," 206   "," 84   "," 173   "," 64   "," 177   "," 61   "," 121   "," 42   "," 112   "," 39   "," 73   "," 43   "," 97   "," 40   "," 56   "," 38   "," 52   "," 25   "," 96   "," 57   "
2012,"CHIMALTENANGO","A:06","Amebiasis"," 8,335   "," 2   "," -     "," 5   "," 7   "," 225   "," 219   "," 1,309   "," 1,246   "," 619   "," 521   "," 342   "," 273   "," 363   "," 156   "," 427   "," 133   "," 317   "," 116   "," 280   "," 104   "," 341   "," 85   "," 200   "," 86   "," 184   "," 51   "," 124   "," 57   "," 138   "," 43   "," 65   "," 40   "," 53   "," 34   "," 96   "," 74   "
2012,"CHIMALTENANGO","M:79","Otros trastornos de los tejidos blandos, no clasificados en otra parte"," 7,371   "," -     "," -     "," -     "," -     "," 13   "," 12   "," 54   "," 41   "," 72   "," 58   "," 177   "," 103   "," 436   "," 114   "," 650   "," 130   "," 585   "," 132   "," 638   "," 130   "," 767   "," 148   "," 522   "," 110   "," 511   "," 85   "," 354   "," 123   "," 301   "," 70   "," 221   "," 87   "," 192   "," 53   "," 329   "," 153   "
2012,"CHIMALTENANGO","B:82","Parasitosis intestinales, sin otra especificación"," 7,055   "," 3   "," 1   "," 3   "," 3   "," 68   "," 79   "," 1,140   "," 1,145   "," 882   "," 714   "," 417   "," 342   "," 310   "," 90   "," 287   "," 93   "," 220   "," 66   "," 172   "," 48   "," 201   "," 54   "," 133   "," 47   "," 126   "," 25   "," 71   "," 26   "," 70   "," 23   "," 43   "," 16   "," 30   "," 9   "," 74   "," 24   "
2012,"CHIMALTENANGO","J:18","Neumonía, organismo no especificado"," 6,552   "," 57   "," 41   "," 62   "," 73   "," 867   "," 1,193   "," 1,171   "," 1,346   "," 242   "," 210   "," 78   "," 65   "," 59   "," 38   "," 66   "," 26   "," 63   "," 22   "," 67   "," 19   "," 77   "," 19   "," 73   "," 22   "," 67   "," 21   "," 59   "," 19   "," 67   "," 21   "," 57   "," 21   "," 46   "," 28   "," 117   "," 73   "
2012,"CHIMALTENANGO","G:44","Otros síndromes de cefalea"," 5,770   "," -     "," -     "," 1   "," -     "," 7   "," -     "," 18   "," 17   "," 122   "," 58   "," 254   "," 141   "," 487   "," 60   "," 783   "," 98   "," 636   "," 99   "," 576   "," 60   "," 760   "," 69   "," 290   "," 41   "," 362   "," 63   "," 163   "," 30   "," 186   "," 23   "," 84   "," 19   "," 66   "," 42   "," 127   "," 28   "
2012,"CHIMALTENANGO","T:78","Efectos adversos, no clasificados en otra parte"," 5,149   "," 13   "," 16   "," 26   "," 17   "," 289   "," 251   "," 601   "," 666   "," 384   "," 361   "," 289   "," 196   "," 294   "," 100   "," 242   "," 71   "," 169   "," 44   "," 172   "," 33   "," 196   "," 43   "," 100   "," 27   "," 117   "," 27   "," 82   "," 22   "," 50   "," 19   "," 50   "," 17   "," 32   "," 17   "," 76   "," 40   "
2012,"CHIMALTENANGO","H:10","Conjuntivitis"," 5,144   "," 69   "," 72   "," 56   "," 32   "," 334   "," 321   "," 586   "," 570   "," 284   "," 290   "," 190   "," 154   "," 181   "," 82   "," 175   "," 64   "," 165   "," 55   "," 129   "," 48   "," 200   "," 60   "," 103   "," 42   "," 116   "," 44   "," 102   "," 22   "," 86   "," 37   "," 67   "," 31   "," 75   "," 18   "," 190   "," 94   "
2012,"CHIMALTENANGO","L:30","Otras dermatitis"," 4,526   "," 76   "," 36   "," 45   "," 44   "," 351   "," 423   "," 580   "," 554   "," 300   "," 266   "," 268   "," 144   "," 199   "," 77   "," 178   "," 44   "," 157   "," 40   "," 103   "," 32   "," 109   "," 39   "," 74   "," 25   "," 84   "," 29   "," 34   "," 19   "," 36   "," 22   "," 29   "," 14   "," 21   "," 8   "," 47   "," 19   "
2012,"CHIMALTENANGO","T:14","Traumatismo de regiones no especificadas del cuerpo"," 4,322   "," 1   "," 1   "," 1   "," -     "," 15   "," 17   "," 148   "," 232   "," 205   "," 351   "," 191   "," 381   "," 163   "," 392   "," 151   "," 303   "," 125   "," 197   "," 102   "," 178   "," 116   "," 122   "," 72   "," 81   "," 81   "," 75   "," 65   "," 88   "," 70   "," 56   "," 45   "," 51   "," 33   "," 48   "," 91   "," 74   "
2012,"CHIMALTENANGO","R:51","Cefalea"," 3,756   "," 3   "," -     "," -     "," 3   "," 10   "," 15   "," 55   "," 45   "," 116   "," 58   "," 163   "," 93   "," 370   "," 65   "," 519   "," 49   "," 441   "," 43   "," 319   "," 33   "," 381   "," 29   "," 223   "," 27   "," 203   "," 24   "," 124   "," 19   "," 94   "," 16   "," 38   "," 16   "," 40   "," 9   "," 83   "," 30   "
2012,"CHIMALTENANGO","D:64","Otras anemias"," 3,660   "," 1   "," 2   "," 1   "," 3   "," 18   "," 23   "," 90   "," 85   "," 223   "," 149   "," 284   "," 140   "," 320   "," 42   "," 419   "," 22   "," 285   "," 16   "," 289   "," 20   "," 305   "," 21   "," 153   "," 16   "," 162   "," 19   "," 71   "," 18   "," 95   "," 19   "," 66   "," 23   "," 59   "," 16   "," 113   "," 72   "
2012,"CHIMALTENANGO","N:76","Otras afecciones inflamatorias de la vagina y de la vulva"," 3,556   "," -     "," -     "," -     "," -     "," -     "," -     "," -     "," -     "," -     "," -     "," 49   "," -     "," 284   "," -     "," 700   "," -     "," 672   "," -     "," 586   "," -     "," 521   "," -     "," 282   "," -     "," 230   "," -     "," 116   "," -     "," 60   "," -     "," 22   "," -     "," 18   "," -     "," 16   "," -     "
2012,"CHIMALTENANGO","J:03","Amigdalitis aguda"," 3,315   "," 1   "," -     "," 6   "," 4   "," 83   "," 78   "," 439   "," 404   "," 352   "," 219   "," 180   "," 171   "," 149   "," 47   "," 220   "," 50   "," 148   "," 37   "," 94   "," 35   "," 227   "," 31   "," 48   "," 16   "," 85   "," 9   "," 32   "," 14   "," 49   "," 13   "," 13   "," 5   "," 15   "," 8   "," 29   "," 4   "
2012,"CHIMALTENANGO","B:49","Micosis, no especificada"," 3,298   "," 5   "," 5   "," 8   "," 11   "," 107   "," 118   "," 282   "," 232   "," 193   "," 163   "," 195   "," 135   "," 218   "," 95   "," 241   "," 72   "," 179   "," 62   "," 124   "," 47   "," 219   "," 49   "," 82   "," 27   "," 98   "," 34   "," 58   "," 14   "," 70   "," 21   "," 28   "," 6   "," 21   "," 7   "," 50   "," 22   "
